Study Title,Status,Date of publication,DOI,Affiliation,Country of 1st author,Source of funding,Registration,Registration database,Protocol,Number of database(s),Database(s) name(s),Database(s) structured,Type of database,Database(s) country(s),Aim of study,Causal contrast,Number of primary outcome(s),Name of primary outcome(s),Type of primary outcome(s),Number of interventional arm(s),Number of control(s),Medical speciality,Name of primary (first) intervention,Type of intervention,ATC class,Comparator type,Comparator name,Study design,Statistical design,Sample size,High-dimensional method,Validation study,Position of the 1st/main hdPS analysis,Number of data dimensions,Temporal window,Included dimensions,Other dimensions,Diagnoses coding system,Procedures coding system,Drugs coding system,Granularity of codes,Other granularity,Prevalence filter,Number of most prevalent codes,Recurrence assessment,Covariates prioritization method,Number of predefined covariates,Number of prioritized covariates,Inclusion of post-baseline predefined covariates,Model used for building PS,Other model,Trimming,PS score main use,PS score other use,Additional variables used for,Reported list of included hdPS variables,Main or first intervention effect model,"Intervention, nb of eligible patients","Control, nb of eligible patients",Exclusion of eligible patients in the analysis,Use of a flowchart,"Intervention, nb of patients analyzed","Control, nb of patients analyzed",Reporting of crude analysis,Diagnostics for differences,hdPS specific sensitivity analysis,hdPS specific diagnostics,Investigator excluded variables,Transparency of hdPS reporting,Comparison with other methods (non hdPS),Method details,"Other, details",Use of a reporting guideline,Availability of code,Availability of data,Statistical software used,Aim ROBINS,Results assessed ROBINS,Bias due to confounding,Bias in selection of participants,Bias in classification of interventions,Bias due to deviations from intended interventions,Bias due to missing data,Bias in measurement of outcomes,Bias in selection of the reported result,Overall bias
Comparative Safety of Sulfonylureas and the Risk of Sudden Cardiac Arrest and Ventricular Arrhythmia,Done,18/11/2017,10.2337/dc17-0294,Yes,USA,Public,Not reported,,Not reported,1,Medicaid,Medicaid or Medicare,PCD,USA,Safety,Per-protocol,1,SCA/VA event,Time to event,2,1,Diabetology,glyburide,Pharmacological,A10BB01,Active comparator,glipizide,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,9,365,"Outpatient drug dispensation,Outpatient diagnoses,Outpatient procedures (including tests),Inpatient diagnoses,Inpatient procedures (including tests),Other",,ICD-9,CPT,Generic drug names,"3 digit ICD,5 digit CPT,Other",,Yes,200,None,Bross formula,61,500,No,Logistic regression,,Not reported,Adjustment,,To adjust with hdPS (stratas or not),Yes,Cox regression,202148,2019604,Yes,No,,,Yes,Standardized Difference,,Surveillance for IVs,Yes,"Specify data dimensions,Description parameters for feature generation,Describe feature recurrence assessment method,Specify covariate priorisation method,Specify total number of covariates included,Describe results of diagnostics and sensitivity analysis,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),HR 0.82,Moderate,Low,Low,Moderate,NI,Low,NI,Moderate
Comparing clinical and economic outcomes of biologic and conventional medications in postmenopausal women with osteoporosis,Done,9/6/2015,10.1111/jep.12389,Yes,USA,Not reported,Not reported,,Not reported,1,Medicare,Medicaid or Medicare,PCD,USA,Efficacy,Per-protocol,1,Fracture,Time to event,1,1,Rheumatology,Biphosphonate,Pharmacological,M05BA,Active comparator,Teriparatide,New-user design,Not reported,Not reported,hdPS,No,Sensitivity analysis,5,365,"Outpatient drug dispensation,Outpatient diagnoses,Inpatient diagnoses,Outpatient procedures (including tests),Inpatient procedures (including tests)",Diagnosis Related Group,ICD-9,"HCPCS,Other",Generic drug names,"3 digit ICD,Generic drug name",,Yes,200,Schneeweiss citation,Bross formula,11,500,No,Schneeweiss citation,,Not reported,Adjustment,Matching,No additional variables used with/before/after hdPS,Yes,Cox regression,39493,550,Yes,No,1695,467,No,Standardized Difference,,,Not reported,"Specify data dimensions,Description parameters for feature generation,Specify covariate priorisation method,Specify total number of covariates included,Specify software",Yes,"Propensity score with predefined variables,Multivariable analysis on predefined variables",,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),HR 1.37,Moderate,Low,Low,Moderate,NI,Low,NI,Moderate
Comparing the high-dimensional propensity score for use with administrative data with propensity scores derived from high-quality clinical data,Done,11/4/2019,10.1177/096228021984236,Yes,Canada,Public,Not reported,,Not reported,1,OHIP,Ontario health databases,PCD,Canada,Both,ITT,1,Mortality,Time to event,1,1,Cardiology,ACE inhibitor,Pharmacological,C09A,Active comparator,Beta blockers,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,4,365,"Outpatient diagnoses,Inpatient diagnoses,Inpatient procedures (including tests),Outpatient drug dispensation",,"ICD-10,ICD-9",Other,Not reported,,,,,Schneeweiss citation,Schneeweiss citation,16,,No,Schneeweiss citation,,Not reported,Weighting,,No additional variables used with/before/after hdPS,No,Cox regression,,,Unclear,No,,,No,Standardized Difference,,,Not reported,"Specify data dimensions,Specify software",Yes,Propensity score with predefined variables,,Not reported,Not reported,Not reported,SAS,Assignment (ITT),HR 0.95,Moderate,Low,Low,Low,NI,Low,NI,Moderate
Comparison of Cardiac Events Associated With Azithromycin vs Amoxicillin,Done,15/9/2020,10.1001/jamanetworkopen.2020.16864,No,USA,Not reported,Not reported,,Not reported,1,Truven Health Analytics MarketScan,Truven Marketscan,PCD,USA,Safety,ITT,1,"Primary diagnosis for arrhythmia, palpitation, long QT, cardiac arrest, syncope or death",Binary,1,1,Infectious Disease Medicine,Amoxicillin,Pharmacological,J01CA04,Active comparator,Azithromycin,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,3,365,"Outpatient diagnoses,Outpatient procedures (including tests),Outpatient drug dispensation",,ICD-9,,,,,,,Schneeweiss citation,Association with exposure,12,500,No,Schneeweiss citation,,Not reported,Matching,,,No,Logistic regression,,,Yes,No,2141285,2141285,No,Standardized Difference,,PS distribution plots,Not reported,"Specify data dimensions,Specify total number of covariates included,Specify software,Specify covariate priorisation method",No,,,STROBE,Not reported,Not reported,SAS,Assignment (ITT),OR 1.08,Moderate,Low,Low,Low,NI,Low,NI,Moderate
Comparison of Cardiovascular Safety for Smoking Cessation Pharmacotherapies in a Population-Based Cohort in Australia,Done,29/11/2021,10.1001/jamanetworkopen.2021.36372,Yes,Australia,Public,Not reported,,Not reported,1,New South Wales ,Other,Both linked,Australia,Safety,"Per-protocol,ITT",1,MACE,Time to event,2,2,Addiction Medicine,Varenicline,Pharmacological,N07BA03,Active comparator,Bupropion,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,,1825,Unclear,,ICD-10,,ATC,,,,,Schneeweiss citation,Schneeweiss citation,33,500,No,Schneeweiss citation,,Yes,Weighting,,No additional variables used with/before/after hdPS,No,Cox regression,342360,10467,Yes,Yes,342064,10457,No,Standardized Difference,,PS distribution plots,Not reported,"Specify total number of covariates included,Specify software,Describe results of diagnostics and sensitivity analysis",No,,,STROBE,Not reported,Not reported,Stata,Starting and adhering (PP),HR 0.87,Moderate,Low,Low,Moderate,NI,Low,NI,Serious
Comparison of Clinical Outcomes and Safety Associated With Chlorthalidone vs Hydrochlorothiazide in Older Adults With Varying Levels of Kidney Function,Done,15/9/2021,10.1001/jamanetworkopen.2021.23365,Yes,Canada,Public,Not reported,,Not reported,1,ICES,Ontario health databases,PCD,Canada,Both,"Per-protocol,ITT",4,adverse kidney events,Time to event,1,1,Nephrology,Chlorthalidone,Pharmacological,C03BA04,Active comparator,Hydrochlorothiazide,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,6,,"Outpatient diagnoses,Medical encounters,Outpatient drug dispensation,Inpatient diagnoses,Inpatient procedures (including tests)",Emergency diagnosis,ICD-10,Other,Generic drug names,"3 digit ICD,Generic drug name,Other",,,,Schneeweiss citation,Schneeweiss citation,,201,,Schneeweiss citation,,Not reported,Matching,,To match with the hdPS,Yes,Fine-Gray,3344,79211,Yes,Yes,2936,9786,No,Standardized Difference,,Inspection of selected variables,Yes,"Specify data dimensions,Description parameters for feature generation,Specify total number of covariates included,Specify software",No,,,STROBE,Not reported,Not reported,SAS,Starting and adhering (PP),HR 1.24,Moderate,Low,Low,Serious,NI,Low,NI,Serious
Comparison of Different Approaches to Confounding Adjustment in a Study on the Association of Antipsychotic Medication With Mortality in Older Nursing Home Patients,Done,26/5/2011,10.1093/aje/kwr213,Yes,USA,Public,Not reported,,Not reported,1,Medicaid + Medicare + Minimum Data Set (MDS) + OSCAR,Medicaid or Medicare,PCD,USA,Safety,"ITT,Per-protocol",1,Death from any cause,Time to event,1,1,Psychiatry,Conventional antipsychotic,Pharmacological,N05,Active comparator,Atypical antipsychotic,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,5,180,"Outpatient drug dispensation,Disease specific,Procedures (all),Diagnoses (all)",diagnoses / procedures / MDS characteristics / OSCAR characteristics,ICD-9,Not reported,Not reported,,,Yes,200,Schneeweiss citation,Schneeweiss citation,32,500,No,Schneeweiss citation,,Yes,Adjustment on deciles (stratification),,No additional variables used with/before/after hdPS,No,Logistic regression,7252,74760,Yes,No,,,Yes,Not reported,Different dimensions,,Not reported,"Specify data dimensions,Specify total number of covariates included,Describe results of diagnostics and sensitivity analysis",Yes,"Propensity score with predefined variables,Multivariable analysis on predefined variables",,Not reported,Not reported,Not reported,Not reported,Assignment (ITT),RR 1.39,Moderate,Low,Low,Moderate,NI,Low,NI,Moderate
Comparison of Long-Term Risk Adverse Outcomes In Patients with Atrial Fibrillation Having Ablation vs Antiarrhythmic Medications,Done,15/2/2020,10.1016/j.amjcard.2019.11.004.,Yes,USA,Public,Not reported,,Not reported,1,Kaiser Permanente Northern California and Southern California,Kaiser Permanente,Both linked,USA,Both,ITT,5,death,Time to event,1,1,Cardiology,catheter ablation,Not-pharmacological,,Active comparator,antiarrhythmic therapy,Prevalent user,Not reported,Not reported,hdPS,No,Primary analysis,3,1825,"Diagnoses (all),Drugs (all),Procedures (all)",,Not reported,Not reported,Not reported,,,Yes,200,Schneeweiss citation,Schneeweiss citation,,300,No,Schneeweiss citation,,Not reported,Matching,,To match with the hdPS,No,Logistic regression,811,156963,Yes,Yes,535,1070,No,C-statistic,,,Not reported,"Specify data dimensions,Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Assignment (ITT),HR 0.24,Moderate,Serious,Low,Low,NI,Low,NI,Serious
"Comparison of Low-, Moderate-, and High-Molecular-Weight Hyaluronic Acid Injections in Delaying Time to Knee Surgery",Done,2/5/2017,10.1016/j.arth.2017.04.041,Yes,USA,Public,Not reported,,Mentioned but not available,1,LifeLink Plus,IQVIA PharMetrics,PCD,USA,Efficacy,ITT,1,composite surgical intervention,Time to event,2,1,Orthopedics,LMWHA,Pharmacological,M09AX01,Active comparator,HMWHA,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,,180,Unclear,,,,,,,,,Schneeweiss citation,Schneeweiss citation,,500,Unclear,Schneeweiss citation,,Not reported,Matching,,,Yes,Cox regression,8526,12410,Unclear,,,,Yes,Not reported,,,Not reported,"Specify total number of covariates included,Specify software",Yes,"Multivariable analysis on predefined variables,Negative controls",,Not reported,Not reported,Not reported,SAS,Assignment (ITT),HR 0.939,Moderate,Low,Low,Low,NI,Low,NI,Moderate
"Comparison of Pregnancy Outcomes of Patients Treated With Ondansetron vs Alternative Antiemetic Medications in a Multinational, Population-Based Cohort",Done,23/4/2021,10.1001/jamanetworkopen.2021.5329,Yes,Canada,Public,Not reported,,Mentioned but not available,7,Canadian provinces (5) health data / MarketScan / CPRD,"CNODES network databases,Truven Marketscan,CPRD (+HES)","PCD,EMR / Registry",Canada / USA / UK,Safety,ITT,1,Fetal death,Time to event,1,1,Obstetrics,Ondansetron,Pharmacological,A04AA01,Active comparator,Comparator antiemetics,New-user design,Not reported,No,hdPS,No,Primary analysis,,,Unclear,,,,,,,,,Schneeweiss citation,Schneeweiss citation,27,,Unclear,Logistic regression,,Yes,Adjustment,,No additional variables used with/before/after hdPS,No,Cox regression,150197,306766,Yes,No,,,Yes,Not reported,,,Not reported,Specify software,No,,,STROBE,Not reported,On demand,SAS,Assignment (ITT),HR 0.91,Serious,Low,Low,Low,NI,Low,NI,Serious
Comparison of risk of cardiovascular disease related adverse events between selective serotonin reuptake inhibitor users and serotonin  norepinephrine reuptake inhibitor users in Korean adult patients with depression: retrospective cohort study.,Done,19/1/2021,10.1016/j.psychres.2021.113744,Unclear,South Korea,Public,Not reported,,Not reported,1,Health Insurance Review and Assessment,Other,PCD,South Korea,Safety,ITT,3,Hemorrhagic stroke / ischemic stroke / myocardial infarction,Time to event,1,1,Psychiatry,SSRI,Pharmacological,N06AB,Active comparator,SRNI,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,3,365,"Diagnoses (all),Drugs (all)",,,,,,,,,Schneeweiss citation,Schneeweiss citation,14,500,Unclear,Schneeweiss citation,,Not reported,Adjustment,,To adjust with hdPS (stratas or not),No,Cox regression,64739,3711,Unclear,Yes,,,Yes,Not reported,,,Not reported,"Specify data dimensions,Specify total number of covariates included,Specify software",Yes,Propensity score with predefined variables,,STROBE,Not reported,Not reported,SAS,Assignment (ITT),HR 1.100,Moderate,Low,Low,Low,NI,Low,NI,Moderate
Concurrent use of long-acting bronchodilators in COPD and the risk of adverse cardiovascular events,Done,1/9/2017,10.1183/13993003.02245-2016,Yes,Canada,"Public,Private",Not reported,,Mentioned but not available,1,CPRD + HES,CPRD (+HES),Both linked,UK,Safety,"Per-protocol,ITT",3,myocardial infarction / heart failure / stroke,Time to event,1,1,Pulmonary Medicine,combination bronchodilators,Pharmacological,R03A,Active comparator,monotherapy,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,3,365,"Diagnoses (all),Procedures (all),Drugs (all)",,,,,,,,,Schneeweiss citation,Schneeweiss citation,4,500,No,Logistic regression,,Not reported,Matching,,"To match with the hdPS,To adjust after hdPS matching/weighting",No,Cox regression,32741,100613,Yes,No,31138,31138,No,Not reported,,,Not reported,"Specify data dimensions,Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),HR 1.12,Moderate,Low,Low,Moderate,NI,Low,NI,Moderate
Diabetes self-management education is not associated with a reduction in long-term diabetes complications: an effectiveness study in an elderly population,Done,4/3/2015,10.1111/jep.12360,Yes,Canada,Public,Not reported,,Not reported,1,ICES,Ontario health databases,PCD,Canada,Efficacy,ITT,8,hospitalization for coronary artery disease / stroke / ischaemic limb / foot ulcer cellulitis / non-traumatic lower extremity amputation / renal dialysis / proliferative retinopathy / all-cause mortality,Time to event,1,1,Diabetology,Attendee of self education,Not-pharmacological,,Standard care,Unexposed,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,7,1095,"Medical encounters,Outpatient drug dispensation,Inpatient diagnoses,Outpatient diagnoses,Inpatient procedures (including tests)",emergency department diagnoses / procedures,,,,,,,,Schneeweiss citation,Schneeweiss citation,13,500,No,Logistic regression,,Not reported,Matching,,To match with the hdPS,No,Cox regression,8207,92640,Yes,No,7988,7988,No,Standardized Difference,,,Not reported,"Specify data dimensions,Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Assignment (ITT),HR 1.13,Moderate,Moderate,Moderate,Low,NI,Low,NI,Moderate
Dialysis therapy and mortality in older adults with heart failure and advanced chronic kidney disease: A high-dimensional propensity-matched cohort study,Done,21/1/2022,10.1371/journal.pone.0262706,Yes,USA,Public,Not reported,,Not reported,1,Kaiser Permanente Northern California,Kaiser Permanente,Both linked,USA,Both,ITT,1,Death,Time to event,1,1,Nephrology,Dialysis initiation,Not-pharmacological,,Standard care,Unexposed,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,6,,"Outpatient prescriptions,Outpatient diagnoses,Outpatient procedures (including tests),Inpatient prescriptions,Inpatient diagnoses,Inpatient procedures (including tests)",,ICD-9,CPT,,,,Yes,200,Schneeweiss citation,Bross formula,,100,Unclear,Logistic regression,,Not reported,Matching,,"To match with the hdPS,To adjust after hdPS matching/weighting",No,Cox regression,412,22302,Yes,Yes,348,947,No,Standardized Difference,,,Not reported,"Specify data dimensions,Specify covariate priorisation method,Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Assignment (ITT),HR 0.67,Moderate,Moderate,Low,Low,NI,Low,NI,Serious
Digoxin and Risk of Death in Adults With Atrial Fibrillation The ATRIA-CVRN Study,Done,20/11/2014,10.1161/CIRCEP.114.002292,Yes,USA,Public,Not reported,,Not reported,2,Kaiser Permanente Northern California / Kaiser Permanente Southern California,Kaiser Permanente,Both linked,USA,Both,"ITT,Per-protocol",2,Death / Hospitalization,Time to event,1,1,Cardiology,Digoxin,Pharmacological,C01AA05,Standard care,Unexposed,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,3,1825,"Drugs (all),Diagnoses (all),Procedures (all)",Medication prescriptions / diagnoses / procedures,ICD-9,Not reported,Not reported,,,Yes,200,Schneeweiss citation,Schneeweiss citation,,300,No,Schneeweiss citation,,Not reported,Matching,,To match with the hdPS,No,Cox regression,4858,22430,Yes,Yes,4231,10556,No,Not reported,,,Not reported,"Specify data dimensions,Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Assignment (ITT),mortality HR 1.71,Moderate,Serious,Low,Low,Low,Low,NI,Serious
Dose-response relationship between sulfonylureas and major adverse cardiovascular events in elderly patients with type 2 diabetes,Done,22/4/2016,10.1002/pds.4014,Yes,Canada,Public,Not reported,,Mentioned but not available,1,Alberta Health,Other canadian databases,PCD,Canada,Safety,Per-protocol,1,MACE,Time to event,2,2,Diabetology,Gliclazide low dose,Pharmacological,A10BB09,Active comparator,High dose gliclazide,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,5,1095,"Outpatient drug dispensation,Inpatient diagnoses,Inpatient procedures (including tests),Medical encounters",emergency diagnoses / emergency procedures,,,,,,Yes,200,Schneeweiss citation,Schneeweiss citation,28,50,No,Schneeweiss citation,,Not reported,Matching,,No additional variables used with/before/after hdPS,No,Cox regression,,,Yes,Yes,2895,2895,Yes,Standardized Difference,,PS distribution plots,Not reported,"Specify data dimensions,Specify total number of covariates included,Describe results of diagnostics and sensitivity analysis,Specify software",No,,,Not reported,Not reported,Not reported,Stata,Starting and adhering (PP),HR 1.15,Moderate,Low,Low,Serious,NI,Low,NI,Serious
Drospirenone-containing combined oral contraceptives and the risk of arterial thrombosis: a population-based nested case-control study,Done,4/10/2016,10.1111/1471-0528.14358,Yes,Canada,Public,Not reported,,Mentioned but not available,1,CPRD,CPRD (+HES),EMR / Registry,UK,Safety,ITT,1,venous thromboembolism,Binary,1,1,Gynecology,Drospirenone,Pharmacological,G03AC10,Active comparator,Levonorgestrel,Other,Not reported,No,hdPS,No,Primary analysis,,365,Unclear,,,,,,,,,Schneeweiss citation,Schneeweiss citation,25,500,Unclear,Schneeweiss citation,,Not reported,Adjustment,,To adjust with hdPS (stratas or not),No,Poisson regression,38696,301047,Yes,Yes,51,366,Yes,Not reported,,PS distribution plots,Not reported,Specify total number of covariates included,No,,,Not reported,Not reported,Not reported,Not reported,Assignment (ITT),HR 0.89,Moderate,Low,Low,Low,NI,Low,NI,Moderate
Drospirenone-Containing Oral Contraceptive Pills and the Risk of Venous Thromboembolism: An Assessment of Risk in First- Time Users and Restarters,Done,5/4/2017,10.1007/s40264-017-0525-2,Yes,Canada,Public,Not reported,,Mentioned but not available,1,CPRD + HES,CPRD (+HES),Both linked,UK,Safety,Per-protocol,2,incident VTE / pulmonary embolism,Time to event,1,1,Gynecology,Drospirenone,Pharmacological,G03AC10,Active comparator,Levonorgestrel,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,,1825,,,,,,,,,,Schneeweiss citation,Schneeweiss citation,27,500,No,Schneeweiss citation,,Yes,Adjustment on deciles (stratification),Matching,No additional variables used with/before/after hdPS,No,Cox regression,3582,51557,No,Yes,,,Yes,Not reported,,PS distribution plots,Not reported,"Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),HR 3.2,Moderate,Low,Low,Moderate,Low,Moderate,NI,Moderate
Early cardiovascular protection by initial two-drug fixed-dose combination treatment vs. monotherapy in hypertension,Done,27/7/2018,10.1093/eurheartj/ehy420,Yes,Italy,Private,Not reported,,Not reported,1,NHS Lombardy,Other,PCD,Italy,Efficacy,Per-protocol,1,CV event,Time to event,1,1,Cardiology,Combination therapy,Pharmacological,C02,Active comparator,monotherapy,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,2,730,"Outpatient drug dispensation,Hospitalizations (all)",,Not reported,,Not reported,,,,,Schneeweiss citation,Schneeweiss citation,11,200,No,Schneeweiss citation,,Not reported,Matching,,No additional variables used with/before/after hdPS,No,Cox regression,7456,37078,Unclear,No,,,No,Not reported,,,Not reported,"Specify total number of covariates included,Specify software,Specify data dimensions",Yes,Propensity score with predefined variables,self controlled case series,Not reported,Not reported,Not reported,SAS,Assignment (ITT),HR 0.85,Moderate,Serious,Low,Low,NI,Low,NI,Serious
Effect of Selective Serotonin Reuptake Inhibitors on Healthcare Utilization in Patients with Post- Traumatic Stress Disorder and Alcohol Use Disorder,Done,11/6/2019,10.1093/alcalc/agz045,No,USA,Public,Not reported,,Not reported,1,North Texas Veterans Healthcare System,Veterans Administration databases,PCD,USA,Efficacy,ITT,6,discharges for all-cause and alcohol-related medical hospitalization / psychiatric hospitalization / ER visits,Binary,1,1,Psychiatry,SSRI,Pharmacological,N06AB,Standard care,Unexposed,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,3,365,"Diagnoses (all),Drugs (all),Procedures (all)",,ICD-9,CPT,Generic drug names,Other,4 digit ICD / 4 digit CPT,No,,"""Once, sporadic, frequent""",Bross formula,6,,No,Schneeweiss citation,,Not reported,Weighting,,To adjust after hdPS matching/weighting,No,Logistic regression,1639,1596,Unclear,No,,,No,Standardized Difference,,,Not reported,"Specify data dimensions,Description parameters for feature generation,Describe feature recurrence assessment method,Specify software,Specify covariate priorisation method",No,,,Not reported,Not reported,Not reported,Other,Assignment (ITT),OR 0.939,Moderate,Moderate,Low,Low,NI,Low,NI,Moderate
Effectiveness and safety of 110 or 150 mg dabigatran vs. vitamin K antagonists in nonvalvular atrial fibrillation,Done,8/11/2018,10.1111/bcp.13815,Yes,France,Private,Yes,EUPAS / CT.GOV,Available,1,SNDS,SNDS,PCD,France,Both,Per-protocol,4,hospitalizations with a main diagnosis of ischaemic stroke / systemic embolism / major bleeding / all-cause death,Time to event,2,1,Cardiology,Dabigatran 110 mg,Pharmacological,B01AE07,Active comparator,VKA,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,4,1095,"Outpatient drug dispensation,Inpatient diagnoses,Medical encounters,Outpatient diagnoses",LTD,ICD-10,,,,,,,Schneeweiss citation,Association with outcome,24,500,No,Logistic regression,,Not reported,Matching,Adjustment on deciles (stratification),No additional variables used with/before/after hdPS,Unclear,Cox regression,15532,44653,Yes,Yes,14442,14442,Yes,Standardized Difference,,PS distribution plots,Not reported,"Specify data dimensions,Specify covariate priorisation method,Specify total number of covariates included,Describe results of diagnostics and sensitivity analysis,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),HR 0.69,Moderate,Low,Low,Serious,NI,Low,Moderate,Serious
Effectiveness and Safety of Rivaroxaban 15 or 20 mg Versus Vitamin K Antagonists in Nonvalvular Atrial Fibrillation A Population-Based New Users High-Dimensional Propensity Score  Matched Cohorts Study,Done,14/6/2019,10.1161/STROKEAHA.119.025824,Yes,France,Private,Yes,EUPAS,Available,1,SNDS,SNDS,PCD,France,Both,Per-protocol,3,hospitalization for ischemic stroke or systemic embolism / hospitalization for major bleeding / all-cause death,Time to event,2,1,Cardiology,Rivaroxaban  15,Pharmacological,B01AF01,Active comparator,VKA,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,4,1095,"Outpatient drug dispensation,Inpatient diagnoses,Medical encounters,Outpatient diagnoses",LTD,ICD-10,Not reported,ATC,"3 digit ICD,Other",ATC7,,,"""Once, sporadic, frequent""",Association with outcome,17,500,No,Logistic regression,,Not reported,Matching,Adjustment on deciles (stratification),No additional variables used with/before/after hdPS,Yes,Fine-Gray,24529,108656,Yes,Yes,23314,23314,Yes,Standardized Difference,,PS distribution plots,Not reported,"Specify data dimensions,Description parameters for feature generation,Describe feature recurrence assessment method,Specify covariate priorisation method,Specify total number of covariates included,Describe results of diagnostics and sensitivity analysis,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),HR 0.80,Moderate,Low,Low,Serious,NI,Low,Moderate,Serious
"Effectiveness of Prophylactic Use of Hepatoprotectants for Tuberculosis Drug-Induced Liver Injury: A Population-Based Cohort Analysis Involving 6,743 Chinese Patients",Done,20/4/2022,10.3389/fphar.2022.813682,Unclear,China,Public,Not reported,,Not reported,1,Ningbo Regional Health Database + Ningbo Community CDC TB registry,Other,Both linked,China,Efficacy,ITT,1,Drug-Induced Liver Injury,Time to event,1,1,Infectious Disease Medicine,hepatoprotectors,Pharmacological,A05BA,Standard care,Unexposed,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,4,365,"Outpatient drug dispensation,Inpatient drug dispensation,Inpatient diagnoses,Outpatient diagnoses",,ICD-10,,Not reported,,,Yes,500,"""Once, sporadic, frequent""",Schneeweiss citation,11,200,No,Schneeweiss citation,,Yes,Weighting,,,No,Cox regression,2886,3857,Yes,No,,,Yes,Standardized Difference,,,Not reported,"Specify data dimensions,Describe feature recurrence assessment method,Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,"SAS,R",Assignment (ITT),HR 1.35,Moderate,Low,Low,Low,Low,Low,NI,Moderate
Effectiveness of spironolactone dispensation in reducing weekly alcohol use: a retrospective high-dimensional propensity score-matched cohort study,Done,21/7/2021,10.1038/s41386-021-01117-z,Yes,USA,Public,Not reported,,Not reported,1,Kaiser Permanente Northern California,Kaiser Permanente,Both linked,USA,Efficacy,Per-protocol,1,change in alcoholic drinks consumed per week,Discrete,1,1,Nephrology,Spironolactone,Pharmacological,C03DA01,Standard care,Unexposed,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,5,365,"Outpatient diagnoses,Inpatient diagnoses,Procedures (all),Outpatient drug dispensation,Medical encounters",,ICD-10,,Generic drug names,,,Yes,300,Schneeweiss citation,Association with exposure,10,100,No,Logistic regression,,Not reported,Matching,,To adjust after hdPS matching/weighting,No,Other,527,58607,Yes,Yes,523,523,No,Standardized Difference,,,Not reported,"Specify data dimensions,Specify covariate priorisation method,Specify total number of covariates included,Specify software",No,,,Not reported,Not reported,Not reported,SAS,Starting and adhering (PP),DiD -0.76,Moderate,Serious,Low,Moderate,NI,Serious,NI,Serious
Effects of aggregation of drug and diagnostic codes on the performance of the high-dimensional propensity score algorithm: an empirical example,Done,19/11/2013,10.1186/1471-2288-13-142,Yes,USA,"Public,Private",Not reported,,Not reported,1,Truven MarketScan,Truven Marketscan,PCD,USA,Safety,ITT,1,Upper gastrointestinal complications,Time to event,1,1,Rheumatology,celecoxib,Pharmacological,L01XX33,Active comparator,NSAIDs,New-user design,Not reported,Not reported,hdPS,No,Primary analysis,5,,"Outpatient drug dispensation,Outpatient diagnoses,Inpatient diagnoses,Outpatient procedures (including tests),Inpatient procedures (including tests)",,ICD-9,"CPT,HCPCS","Generic drug names,ATC",Other,Varying tests of granularity,Yes,200,"""Once, sporadic, frequent""",Bross formula,11,500,No,Schneeweiss citation,,Not reported,Adjustment on deciles (stratification),,To adjust with hdPS (stratas or not),No,Logistic regression,7197,11632,No,No,7197,11632,Yes,Not reported,Different granularity,,Not reported,"Specify data dimensions,Description parameters for feature generation,Describe feature recurrence assessment method,Specify covariate priorisation method,Specify total number of covariates included,Describe results of diagnostics and sensitivity analysis",Yes,Propensity score with predefined variables,,Not reported,Not reported,Not reported,Not reported,Assignment (ITT),HR 0.92,Moderate,Low,Low,Moderate,NI,Low,NI,Moderate
